Family ID	Animal ID	Maternal ID	Pairs	SEX	Phenotype
0	NE01_610_65547	Pair1	1	2	2
0	NE01_610_65613	Pair1	1	2	1
0	NE01_6DRS_18803	Pair2	2	1	2
0	NE01_6DRS_18287	Pair2	2	1	1
0	NE01_6DRS_18211	Pair3	3	1	2
0	NE01_6DRS_18228	Pair3	3	1	1
0	NE01_6DRS_18688	Pair4	4	1	2
0	NE01_6DRS_18667	Pair4	4	1	1
0	NE01_6DRH_65555	Pair5	5	2	2
0	NE01_6DRH_65178	Pair5	5	2	1
0	NE01_6554_63634	Pair6	6	2	2
0	NE01_6554_61356	Pair6	6	2	1
0	NE01_620_63895	Pair7	7	2	2
0	NE01_620_63928	Pair7	7	2	1
0	NE01_652_19447	Pair8	8	2	2
0	NE01_652_19426	Pair8	8	2	1
0	NE01_619_65935	Pair9	9	1	2
0	NE01_619_65922	Pair9	9	1	1
0	NE01_673_428D	Pair10	10	1	2
0	NE01_673_789	Pair10	10	1	1
0	WY01_5233_5778	Pair11	11	1	2
0	WY01_5233_5744	Pair11	11	1	1
0	WY01_5196_3899	Pair12	12	1	2
0	WY01_5196_3949	Pair12	12	1	1
0	WY01_5201_9367	Pair13	13	2	2
0	WY01_5201_9221	Pair13	13	2	1
0	NE04_858_020	Pair14	14	1	2
0	NE04_858_1773	Pair14	14	1	1
0	NE04_858_3198	Pair15	15	1	2
0	NE04_858_4365	Pair15	15	1	1
0	NE04_858_1663	Pair16	16	1	2
0	NE04_858_4057	Pair16	16	1	1
0	NE01_6DRB_617_172	Pair17	17	1	2
0	NE01_142_18328	Pair17	17	1	1
0	NE01_665_27144	Pair18	18	1	2
0	NE01_665_27128	Pair18	18	1	1
0	NE01_675_71729	Pair19	19	1	2
0	NE01_685_72552	Pair19	19	1	1
0	NE04_847_33	Pair20	20	1	2
0	NE04_847_6	Pair20	20	1	1
0	NE04_854_25	Pair21	21	1	2
0	NE04_854_36	Pair21	21	1	1
0	WY01_5281_1003	Pair22	22	1	2
0	WY01_5281_1021	Pair22	22	1	1
0	NE01_7DRB_5572	Pair23	23	1	2
0	NE01_7DRS_69817	Pair23	23	1	1
0	NE04_882_58	Pair24	24	1	2
0	NE04_882_81	Pair24	24	1	1
0	WY01_5263_6447	Pair25	25	2	2
0	WY01_5263_6322	Pair25	25	2	1
0	NE01_679_31938	Pair26	26	1	2
0	NE01_679_31893	Pair26	26	1	1
0	NE01_671_66314	Pair27	27	1	2
0	NE01_671_66249	Pair27	27	1	1
0	NE04_884_44	Pair28	28	1	2
0	NE04_884_61	Pair28	28	1	1
0	NE04_789_B114	Pair29	29	1	2
0	NE04_789_B79	Pair29	29	1	1
0	NE04_829_336	Pair30	30	1	2
0	NE04_829_201	Pair30	30	1	1
0	NE01_660_66848	Pair31	31	2	2
0	NE01_660_66708	Pair31	31	2	1
0	WY01_5305_9432	Pair32	32	1	2
0	WY01_5305_9163	Pair32	32	1	1
0	NE01_723_30028	Pair33	33	1	2
0	NE01_723_29999	Pair33	33	1	1
0	NE01_741_72731	Pair34	34	1	2
0	NE01_741_72735	Pair34	34	1	1
0	NE01_7RDH_20476	Pair35	35	2	2
0	NE01_7RDH_20282	Pair35	35	2	1
0	NE01_691_29805	Pair36	36	1	2
0	NE01_691_29816	Pair36	36	1	1
0	NE01_7DRS_69147	Pair37	37	1	2
0	NE01_7DRS_69238	Pair37	37	1	1
0	NE01_7DRS_69329	Pair38	38	1	2
0	NE01_7DRS_69240	Pair38	38	1	1
0	NE01_7DRH_20457	Pair39	39	2	2
0	NE01_7DRH_20295	Pair39	39	2	1
0	NE01_7DRS_69404	Pair40	40	1	2
0	NE01_7DRS_69507	Pair40	40	1	1
0	NE01_728_51393	Pair41	41	2	2
0	NE01_728_51406	Pair41	41	2	1
0	NE01_7DRS_69384	Pair42	42	1	2
0	NE01_7DRS_69609	Pair42	42	1	1
0	NE01_709_72750	Pair43	43	1	2
0	NE01_709_72721	Pair43	43	1	1
0	NE01_660_68983	Pair44	44	2	2
0	NE01_660_68986	Pair44	44	2	1
0	NE01_7DRS_69407	Pair45	45	1	2
0	NE01_7DRS_69647	Pair45	45	1	1
0	NE01_7DRS_69710	Pair46	46	1	2
0	NE01_7DRS_69608	Pair46	46	1	1
0	NE01_702_43137	Pair47	47	2	2
0	NE01_702_43101	Pair47	47	2	1
0	NE01_7RDS_69763	Pair48	48	1	2
0	NE01_7RDS_69542	Pair48	48	1	1
0	NE01_709_72672	Pair49	49	1	2
0	NE01_709_72693	Pair49	49	1	1
0	NE04_916_351_11	Pair50	50	1	2
0	NE04_916_453	Pair50	50	1	1
0	NE04_953_13	Pair51	51	1	2
0	NE04_953_89	Pair51	51	1	1
0	NE04_973_531	Pair52	52	1	2
0	NE04_973_38	Pair52	52	1	1
0	NE01_7RDS_69821	Pair53	53	1	2
0	NE01_7RDS_69787	Pair53	53	1	1
0	NE01_Q72	Pair54	54	1	2
0	NE01_764_32307	Pair54	54	1	1
0	NE01_732_64779	Pair55	55	2	2
0	NE01_732_64788	Pair55	55	2	1
0	NE01_702_43078	Pair56	56	2	2
0	NE01_702_43082	Pair56	56	2	1
0	NE01_7DRH_20306	Pair57	57	2	2
0	NE01_7DRH_20634	Pair57	57	2	1
0	NE01_7DRH_20335	Pair58	58	2	2
0	NE01_7DRH_20644	Pair58	58	2	1
